anio,semestre,num_interacciones,duracion_acumulada,papa,cursos_inscritos_periodo,num_cursos_plataforma,anio-1,semestre-1,papa-1,delta_papa
2013,2,21,4431.6833333333325,3.5,3,1,2013,1,3.5,0.0
2014,1,1,216.28333333333333,3.5,5,1,2013,1,3.5,0.0
2013,2,71,14929.716666666664,3.2,8,3,2013,1,3.1,0.10000000000000009
2013,2,39,3066.7833333333338,3.4,5,1,2013,1,3.3,0.10000000000000009
2014,1,2,119.25,3.4,1,1,2013,1,3.3,0.10000000000000009
2013,2,4,17.183333333333334,3.1,7,2,2013,1,3.0,0.10000000000000009
2014,1,8,204.03333333333336,3.1,7,2,2013,1,3.0,0.10000000000000009
2013,2,30,1933.9666666666665,3.3,6,1,2013,1,3.2,0.09999999999999964
2014,1,1,62.1,3.3,3,1,2013,1,3.2,0.09999999999999964
2014,1,19,1899.9166666666667,3.3,7,2,2014,1,3.3,0.0
2013,2,12,1175.8833333333334,3.6,6,7,2013,1,3.7,-0.10000000000000009
2013,2,30,4001.483333333334,3.2,7,2,2013,1,3.2,0.0
2014,1,4,790.5999999999999,3.2,4,2,2013,1,3.2,0.0
2013,2,14,997.8000000000001,3.3,7,2,2013,2,3.3,0.0
2014,1,17,1124.3333333333335,3.3,6,4,2014,1,3.3,0.0
2013,2,1,213.3,3.6,2,1,2013,1,3.5,0.10000000000000009
2013,2,3,676.3499999999999,3.1,6,1,2013,1,3.1,0.0
2013,2,32,2842.783333333333,3.5,4,1,2013,1,3.5,0.0
2013,2,36,2652.116666666666,3.7,3,1,2013,1,3.7,0.0
2014,1,3,379.3666666666667,3.7,5,1,2013,1,3.7,0.0
2014,1,24,3159.85,3.6,4,1,2013,1,3.5,0.10000000000000009
2013,2,9,1218.2999999999997,3.0,6,2,2013,1,3.0,0.0
2013,2,1,220.38333333333333,3.5,2,1,2013,1,3.5,0.0
2013,2,1,18.25,3.2,4,1,2013,2,3.2,0.0
2014,1,1,0.3,3.2,3,1,2014,1,3.2,0.0
2013,2,46,5115.000000000002,3.7,6,2,2013,1,3.7,0.0
2013,2,31,3185.666666666665,3.8,4,1,2013,1,3.8,0.0
2013,2,3,345.26666666666665,3.6,5,1,2013,1,3.5,0.10000000000000009
2014,1,28,4808.249999999998,3.2,5,1,2013,1,3.2,0.0
2013,2,10,400.41666666666674,3.2,6,1,2013,1,3.2,0.0
2014,1,18,3238.0333333333333,3.2,5,2,2013,1,3.2,0.0
2013,2,2,4.5,3.3,7,1,2013,1,3.2,0.09999999999999964
2014,1,17,2388.433333333333,3.4,6,2,2013,1,3.2,0.19999999999999973
2013,2,4,205.38333333333333,3.4,8,1,2013,1,3.3,0.10000000000000009
2013,2,31,6590.433333333333,4.5,7,1,2013,1,4.5,0.0
2013,2,26,3417.4666666666662,3.6,6,3,2013,1,3.6,0.0
2014,1,1,206.95,3.6,5,1,2013,1,3.6,0.0
2013,2,37,3598.783333333333,3.6,7,1,2013,1,3.5,0.10000000000000009
2014,1,7,200.33333333333334,3.3,7,2,2013,1,3.3,0.0
2013,2,3,203.63333333333333,3.9,9,1,2013,1,3.8,0.10000000000000009
2013,2,6,28.0,3.5,8,1,2013,1,3.4,0.10000000000000009
2014,1,36,2147.166666666667,3.5,5,4,2013,1,3.4,0.10000000000000009
2014,1,1,1.6333333333333333,3.4,4,1,2013,1,3.4,0.0
2013,2,1,0.26666666666666666,3.6,8,1,2013,1,3.6,0.0
2014,1,23,3187.8833333333328,3.7,8,2,2013,1,3.6,0.10000000000000009
2013,2,4,655.35,4.4,4,2,2013,1,4.3,0.10000000000000053
2014,1,26,2187.6,3.4,6,3,2013,1,3.4,0.0
2014,1,2,255.33333333333331,3.6,6,1,2013,1,3.5,0.10000000000000009
2013,2,38,4417.783333333333,3.9,6,1,2013,1,3.9,0.0
2013,2,28,2815.3,4.4,5,1,2013,1,4.4,0.0
2014,1,6,969.4,3.1,0,1,2013,1,3.1,0.0
2013,2,2,52.75,2.9,3,2,2013,1,3.1,-0.20000000000000018
2014,1,23,4357.133333333333,3.3,3,1,2013,1,3.3,0.0
2013,2,11,507.1666666666666,3.3,6,1,2013,1,3.2,0.09999999999999964
2013,2,3,460.56666666666666,2.8,5,2,2013,1,3.0,-0.20000000000000018
2013,2,5,1015.3,3.3,3,1,2013,1,3.3,0.0
2014,1,3,580.7166666666667,3.2,2,1,2013,1,3.3,-0.09999999999999964
2013,2,13,2874.2,3.2,4,1,2013,1,3.2,0.0
2014,1,7,308.85,3.2,7,1,2013,1,3.1,0.10000000000000009
2013,2,15,212.55,3.6,0,8,2013,2,3.6,0.0
2013,2,6,284.41666666666663,3.5,8,1,2013,1,3.4,0.10000000000000009
2013,2,12,925.9333333333332,3.5,8,1,2013,1,3.5,0.0
2014,1,25,4971.533333333333,3.3,6,1,2013,1,3.3,0.0
2013,2,13,1222.3,3.5,5,1,2013,1,3.4,0.10000000000000009
2014,1,36,3126.0499999999993,3.5,2,2,2013,1,3.4,0.10000000000000009
2013,2,1,0.5333333333333333,3.6,0,1,2013,1,3.6,0.0
2013,2,5,1326.0666666666666,3.9,7,1,2013,1,3.8,0.10000000000000009
2014,1,3,702.7666666666667,3.9,1,1,2013,1,3.8,0.10000000000000009
2013,2,9,1255.35,4.1,7,1,2013,1,4.1,0.0
2014,1,1,239.93333333333334,4.1,1,1,2013,1,4.1,0.0
2013,2,8,942.4166666666666,3.5,5,1,2013,1,3.4,0.10000000000000009
