promedio_tiempo_interacciones,papa,cursos_inscritos_periodo,num_cursos_plataforma,papa-1,delta_papa,modalidad_colegio,calendario,jornada,tipo_colegio,categoria_colegio,ciudad,Clase
211.0325397,3.5,3,1,3.5,0,0,0,0,0,0,0,B
216.2833333,3.5,5,1,3.5,0,0,0,0,0,0,0,B
210.2776995,3.2,8,3,3.1,0.1,1,1,1,1,1,1,B
78.63547009,3.4,5,1,3.3,0.1,0,0,0,0,0,1,B
59.625,3.4,1,1,3.3,0.1,0,0,0,0,0,1,B
4.295833333,3.1,7,2,3,0.1,2,0,2,1,2,2,B
25.50416667,3.1,7,2,3,0.1,2,0,2,1,2,2,B
64.46555556,3.3,6,1,3.2,0.1,0,2,0,0,0,1,B
62.1,3.3,3,1,3.2,0.1,0,2,0,0,0,1,B
99.99561404,3.3,7,2,3.3,0,2,0,2,1,2,1,B
97.99027778,3.6,6,7,3.7,-0.1,0,3,3,2,3,3,B
133.3827778,3.2,7,2,3.2,0,2,0,2,1,2,4,B
197.65,3.2,4,2,3.2,0,2,0,2,1,2,4,B
71.27142857,3.3,7,2,3.3,0,2,0,2,1,2,1,B
66.1372549,3.3,6,4,3.3,0,2,0,2,1,2,1,B
213.3,3.6,2,1,3.5,0.1,2,0,2,1,2,1,B
225.45,3.1,6,1,3.1,0,2,0,0,1,2,5,B
88.83697917,3.5,4,1,3.5,0,2,0,2,1,2,1,B
73.66990741,3.7,3,1,3.7,0,0,0,0,0,0,1,B
126.4555556,3.7,5,1,3.7,0,0,0,0,0,0,1,B
131.6604167,3.6,4,1,3.5,0.1,2,0,2,1,2,1,B
135.3666667,3,6,2,3,0,2,0,2,1,2,1,B
220.3833333,3.5,2,1,3.5,0,2,0,0,1,2,1,B
18.25,3.2,4,1,3.2,0,2,0,2,1,2,1,B
0.3,3.2,3,1,3.2,0,2,0,2,1,2,1,B
111.1956522,3.7,6,2,3.7,0,0,0,0,0,0,1,B
102.7634409,3.8,4,1,3.8,0,2,0,2,1,2,1,B
115.0888889,3.6,5,1,3.5,0.1,0,0,0,0,0,1,B
171.7232143,3.2,5,1,3.2,0,0,3,3,2,3,6,B
40.04166667,3.2,6,1,3.2,0,2,0,2,1,2,1,B
179.8907407,3.2,5,2,3.2,0,2,0,2,1,2,1,B
2.25,3.3,7,1,3.2,0.1,2,0,2,1,2,1,B
140.4960784,3.4,6,2,3.2,0.2,2,0,2,1,2,1,B
51.34583333,3.4,8,1,3.3,0.1,0,0,2,0,0,1,B
212.5946237,4.5,7,1,4.5,0,2,0,2,1,2,7,E
131.4410256,3.6,6,3,3.6,0,0,3,2,0,0,1,B
206.95,3.6,5,1,3.6,0,0,3,2,0,0,1,B
97.26441441,3.6,7,1,3.5,0.1,2,0,2,1,2,1,B
28.61904762,3.3,7,2,3.3,0,0,0,0,0,4,7,B
67.87777778,3.9,9,1,3.8,0.1,0,0,0,0,0,1,B
4.666666667,3.5,8,1,3.4,0.1,2,0,2,1,2,1,B
59.64351852,3.5,5,4,3.4,0.1,2,0,2,1,2,1,B
1.633333333,3.4,4,1,3.4,0,2,0,2,1,2,1,B
0.266666667,3.6,8,1,3.6,0,2,0,2,1,2,8,B
138.6036232,3.7,8,2,3.6,0.1,2,0,2,1,2,8,B
163.8375,4.4,4,2,4.3,0.1,2,0,4,1,2,1,E
84.13846154,3.4,6,3,3.4,0,0,0,0,0,0,1,B
127.6666667,3.6,6,1,3.5,0.1,2,0,2,1,2,1,B
116.2574561,3.9,6,1,3.9,0,2,0,0,1,2,9,B
100.5464286,4.4,5,1,4.4,0,0,0,0,0,0,1,E
161.5666667,3.1,0,1,3.1,0,0,0,2,0,0,1,B
26.375,2.9,3,2,3.1,-0.2,2,0,2,1,2,1,R
189.4405797,3.3,3,1,3.3,0,2,0,2,1,2,1,B
46.10606061,3.3,6,1,3.2,0.1,2,0,2,1,2,1,B
153.5222222,2.8,5,2,3,-0.2,3,0,5,0,5,1,R
203.06,3.3,3,1,3.3,0,0,0,0,0,0,10,B
193.5722222,3.2,2,1,3.3,-0.1,0,0,0,0,0,10,B
221.0923077,3.2,4,1,3.2,0,2,0,2,1,2,7,B
44.12142857,3.2,7,1,3.1,0.1,2,0,2,1,6,11,B
14.17,3.6,0,8,3.6,0,2,0,2,1,2,1,B
47.40277778,3.5,8,1,3.4,0.1,2,0,2,1,2,12,B
77.16111111,3.5,8,1,3.5,0,0,0,0,0,0,1,B
198.8613333,3.3,6,1,3.3,0,2,0,2,1,2,1,B
94.02307692,3.5,5,1,3.4,0.1,2,0,2,1,2,1,B
86.83472222,3.5,2,2,3.4,0.1,2,0,2,1,2,1,B
0.533333333,3.6,0,1,3.6,0,2,0,0,1,2,1,B
265.2133333,3.9,7,1,3.8,0.1,2,0,0,1,2,13,B
234.2555556,3.9,1,1,3.8,0.1,2,0,0,1,2,13,B
139.4833333,4.1,7,1,4.1,0,2,0,2,1,2,1,E
239.9333333,4.1,1,1,4.1,0,2,0,2,1,2,1,E
117.8020833,3.5,5,1,3.4,0.1,0,0,0,0,0,1,B
33.93611111,3.4,6,2,3.4,0,0,0,0,0,0,1,B
138.0116667,3.6,5,2,3.5,0.1,2,0,2,1,7,14,B
115.6106061,4.1,6,1,4.1,0,0,0,0,0,0,15,E
115.7074074,3.6,6,1,3.5,0.1,2,0,0,1,2,13,B
234.5222222,3.3,7,2,3.2,0.1,2,0,2,1,2,1,B
8.443333333,3.8,7,1,3.8,0,2,0,2,1,2,15,B
142.4366667,3.8,4,1,3.8,0,2,0,2,1,2,15,B
153.6309524,3.9,4,1,3.9,0,2,0,2,1,2,1,B
206.125,3.8,5,1,3.8,0,2,0,2,1,2,1,B
124.3029412,3.9,6,3,3.8,0.1,2,0,2,1,2,1,B
198.8010417,3.4,7,2,3.4,0,2,0,2,1,2,1,B
279.0666667,3.5,6,1,3.4,0.1,2,0,2,1,2,1,B
117.515873,3.4,7,2,3.4,0,2,0,2,1,2,1,B
140.9857143,3.5,6,3,3.4,0.1,2,0,2,1,2,1,B
9.4,3.7,7,1,3.7,0,2,0,2,1,2,1,B
229.6666667,3.7,5,1,3.7,0,2,0,2,1,2,1,B
152.1333333,3.8,6,1,3.8,0,2,0,2,1,2,1,B
147.1777778,4,6,1,3.9,0.1,2,0,0,1,2,16,E
112.9617647,3.4,7,3,3.3,0.1,0,0,0,0,0,1,B
164.0913978,3.5,7,2,3.3,0.2,0,0,0,0,0,1,B
215.5055556,3.7,7,1,3.6,0.1,2,0,2,1,2,1,B
191.2822222,3.3,4,4,3.3,0,0,0,0,0,0,1,B
8.928333333,3.1,4,2,3.1,0,1,1,1,1,1,1,B
14.24912281,3.1,0,2,3.1,0,1,1,1,1,1,1,B
157.3642857,3.1,2,2,3.1,0,0,2,2,0,0,1,B
171.4965409,3.2,1,1,3.1,0.1,0,2,2,0,0,1,B
92.56333333,3,3,1,3,0,2,0,2,1,2,1,B
271.7833333,3.2,4,1,3.2,0,2,0,4,1,2,1,B
87.33412698,3.2,5,6,3.2,0,2,0,4,1,2,1,B
218.8702381,3.1,3,1,3.2,-0.1,0,0,0,0,0,1,B
8.551811594,3.5,1,1,3.5,0,2,0,2,1,2,2,B
1,3.3,3,1,3.3,0,2,0,2,1,2,1,B
231.4,3.7,4,1,3.6,0.1,3,0,5,0,5,1,B
157.6520833,3.7,1,1,3.6,0.1,3,0,5,0,5,1,B
224.9333333,3,3,1,3.1,-0.1,2,0,2,1,2,1,B
21.8530303,3.5,3,1,3.5,0,2,0,0,1,2,9,B
170.6817949,3.1,5,3,3.2,-0.1,0,0,2,0,0,1,B
114.275,3.3,4,1,3.3,0,2,0,2,1,2,17,B
0.766666667,3.4,4,1,3.3,0.1,2,0,2,1,2,17,B
42.05873016,3.3,4,2,3.3,0,2,0,0,1,6,18,B
21.782,3.3,6,5,3.3,0,2,0,0,1,6,18,B
76.57333333,3.2,4,4,3.2,0,2,0,2,1,2,1,B
51.62261905,3,5,3,3.2,-0.2,2,0,2,1,2,1,B
140.3217949,3.2,3,3,3.1,0.1,2,0,2,1,2,1,B
213.65625,3.2,7,1,3.1,0.1,2,0,2,1,2,1,B
200.9906667,3.4,8,3,3.4,0,0,0,0,0,0,1,B
172.4933333,3.5,2,2,3.4,0.1,0,0,0,0,0,1,B
222.6409091,3.8,4,2,3.7,0.1,2,0,0,1,2,1,B
148.8186275,3.5,6,3,3.6,-0.1,2,0,2,1,6,19,B
178.0029412,3.6,6,3,3.6,0,2,0,2,1,6,19,B
153.5248062,3.3,5,2,3.3,0,0,2,2,0,0,20,B
128.9538889,3.2,4,6,3.3,-0.1,0,2,2,0,0,20,B
135.7058712,3.4,3,3,3.4,0,2,0,2,1,2,2,B
131.2411111,3.4,2,2,3.4,0,2,0,2,1,2,2,B
8.216666667,3,0,1,3,0,0,3,3,2,3,6,B
164.575,3,4,1,3,0,0,3,3,2,3,6,B
140.21875,3.4,5,4,3.4,0,3,0,5,0,5,1,B
142.3166667,3.4,1,2,3.4,0,3,0,5,0,5,1,B
82.1,3.7,6,2,3.6,0.1,2,0,2,1,2,1,B
160.2555556,3.2,5,4,3.2,0,0,0,2,0,0,1,B
106.0583333,3.2,5,2,3.2,0,0,0,2,0,0,1,B
195.4166667,3.1,7,1,3.1,0,0,0,0,0,0,1,B
92.82380952,3.2,7,3,3.1,0.1,0,0,0,0,0,1,B
157.9065217,3.7,4,5,3.7,0,2,0,2,1,2,1,B
240.8555556,3.3,4,2,3.3,0,2,0,2,1,2,1,B
162.1404762,3.3,5,3,3.3,0,2,0,2,1,2,1,B
34.19666667,3.2,4,3,3.2,0,2,0,2,1,2,1,B
60.03390805,3.1,4,7,3.2,-0.1,2,0,2,1,2,1,B
57.52,3.3,6,3,3.3,0,2,0,0,1,2,13,B
79.70128205,3.3,4,3,3.3,0,2,0,0,1,2,13,B
41.63064516,3.1,4,3,3.1,0,2,0,2,1,2,1,B
22.346875,3.1,4,3,3.1,0,2,0,2,1,2,1,B
170.29,3.3,5,2,3.2,0.1,2,0,2,1,2,1,B
105.0972222,3.3,4,3,3.2,0.1,2,0,2,1,2,1,B
49.07727273,3.5,5,3,3.4,0.1,0,0,0,0,0,1,B
68.57083333,3.3,4,2,3.3,0,2,0,2,1,2,1,B
153.1274775,2.9,6,2,3,-0.1,2,0,2,1,2,1,R
6.010714286,3.7,3,1,3.8,-0.1,3,4,6,0,8,21,B
68.5625,3.7,1,1,3.8,-0.1,3,4,6,0,8,21,B
259.5125,3.6,5,1,3.5,0.1,3,0,5,0,5,1,B
158.6138889,3.4,6,2,3.4,0,2,0,2,1,2,16,B
202.5222222,3.4,6,2,3.4,0,2,0,2,1,2,16,B
177.3392857,4,1,3,4,0,0,2,0,0,0,1,E
99.83009259,3.7,6,4,3.7,0,2,0,2,1,2,22,B
143.2418367,3.7,6,7,3.7,0,2,0,2,1,2,22,B
217.1904762,4.3,7,2,4.3,0,2,0,2,1,2,23,E
105.55,3.7,6,2,3.6,0.1,2,0,4,1,2,1,B
124.0626582,3.4,6,5,3.4,0,0,0,0,0,0,1,B
128.0809829,3.5,5,9,3.4,0.1,0,0,0,0,0,1,B
272.6690476,3.3,5,1,3.2,0.1,2,0,4,1,2,24,B
203.5952381,3.2,3,1,3.2,0,2,0,4,1,2,24,B
112.6,3.5,5,3,3.5,0,0,2,0,0,0,1,B
235.475,3.6,1,2,3.5,0.1,0,2,0,0,0,1,B
224.3261905,3.3,4,1,3.4,-0.1,2,0,2,1,2,1,B
131.9230769,3,5,2,3.4,-0.4,2,0,2,1,2,1,B
239.18,3.4,5,2,3.5,-0.1,0,0,0,0,4,7,B
151.7037037,3.4,5,4,3.5,-0.1,0,0,0,0,4,7,B
194.2783333,3.6,6,5,3.6,0,2,0,2,1,2,1,B
189.7988889,3.6,5,4,3.6,0,2,0,2,1,2,1,B
248.1309524,4.2,6,2,4.1,0.1,0,0,2,0,0,1,E
169.87,3.7,6,2,3.7,0,2,0,2,1,2,25,B
156.7217391,3.7,6,4,3.7,0,2,0,2,1,2,25,B
123.1261905,3.6,6,1,3.6,0,0,0,2,0,0,26,B
127.6916667,3.6,6,3,3.6,0,0,0,2,0,0,26,B
159.5693548,4,7,2,4,0,0,0,0,0,0,1,E
170.6444444,4.1,7,2,4,0.1,0,0,0,0,0,1,E
200.3541667,4.3,5,1,4.4,-0.1,2,0,2,1,2,27,E
203.0666667,4.4,3,1,4.4,0,2,0,2,1,2,27,E
62.59800725,3.4,4,4,3.4,0,0,0,0,0,0,1,B
24.53166667,3.4,4,2,3.4,0,0,0,0,0,0,1,B
1.933333333,3.6,6,2,3.5,0.1,2,0,2,1,2,27,B
191.26,3.6,6,4,3.6,0,2,0,2,1,2,1,B
201.7057292,3.6,6,6,3.6,0,2,0,2,1,2,1,B
140.7291667,3.3,5,3,3.3,0,0,0,2,0,0,1,B
94.03,3.2,5,2,3.3,-0.1,0,0,2,0,0,1,B
